Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,PCA,COD,BAZUOD
arrhythmia,452,274,14.6018,0.76875,0.78382,0.8219299999999998,0.80202,0.7861,0.73284,0.77866,0.7811600000000001,0.7815300000000001,0.8133800000000001,0.8141999999999999
breastw,683,9,34.9927,0.39595,0.9651100000000001,0.9825100000000001,0.9855099999999999,0.97546,0.98529,0.47013,0.9612100000000001,0.9590800000000002,0.9935,0.9935
cardio,1831,21,9.6122,0.56917,0.81003,0.8351,0.91977,0.7236299999999999,0.88079,0.5735699999999999,0.9348400000000001,0.95038,0.9213899999999999,0.91694
ionosphere,351,33,35.8974,0.9247599999999998,0.8971800000000002,0.56144,0.8521700000000001,0.92674,0.81212,0.8753499999999999,0.8419199999999998,0.7962,0.79921,0.7991900000000001
lympho,148,18,4.0541,0.9109700000000001,0.96731,0.9956900000000001,0.9933799999999999,0.9744999999999999,0.73972,0.9770900000000001,0.9758699999999999,0.98467,0.99483,0.99519
mammography,10000,6,2.3,0.5476,0.82348,0.8304600000000001,0.8670899999999999,0.8460699999999999,0.8386999999999999,0.7393799999999999,0.87069,0.8869299999999999,0.90716,0.90452
optdigits,5216,64,2.8758,0.46674000000000004,0.7691999999999999,0.8732499999999999,0.7156099999999999,0.37076000000000003,0.44247000000000003,0.45004,0.49971999999999994,0.50856,0.6798,0.68509
pima,768,8,34.8958,0.6793800000000001,0.65781,0.6999500000000001,0.6797899999999999,0.7078099999999999,0.5955000000000001,0.62705,0.6215,0.6481100000000001,0.6491900000000002,0.6378299999999999
satellite,6435,36,31.6395,0.5713699999999999,0.74942,0.7581100000000001,0.69243,0.6836399999999999,0.61224,0.55727,0.6622399999999999,0.59884,0.6328100000000001,0.63294
satimage-2,5803,36,1.2235,0.81896,0.99922,0.98042,0.99389,0.9536000000000001,0.9831000000000001,0.4577400000000001,0.9978000000000001,0.9821799999999999,0.97843,0.9797800000000001
speech,3686,400,1.6549,0.6267199999999999,0.45150999999999997,0.45384,0.4526,0.45808,0.45824,0.47141,0.44717,0.45033,0.47275999999999996,0.46720000000000006
wbc,378,30,5.5556,0.90473,0.9200500000000001,0.9516300000000001,0.9309799999999999,0.9366199999999999,0.94374,0.93488,0.9318899999999999,0.91587,0.9590299999999999,0.9588999999999999
wine,129,13,7.7519,0.43048000000000003,0.28349,0.90009,0.8135600000000001,0.51766,0.7659999999999999,0.9045099999999999,0.63625,0.80109,0.8908700000000002,0.8891600000000001
