Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,PCA,COD,BAZUOD
arrhythmia,452,274,14.6018,0.21131000000000003,0.25663,0.24284999999999995,0.28457,0.0261,0.05006999999999999,0.00481,0.016800000000000002,0.10641,0.09781999999999999,0.11435
breastw,683,9,34.9927,0.07031000000000001,0.0784,0.004399999999999999,0.27914000000000005,0.018899999999999997,0.018000000000000002,0.006500000000000001,0.01531,0.0014000000000000002,0.0048000000000000004,0.0068000000000000005
cardio,1831,21,9.6122,0.23956,0.14795,0.010699999999999998,0.3241,0.07525999999999998,0.053000000000000005,0.04190999999999999,0.12239999999999998,0.007400000000000001,0.0196,0.019329999999999996
ionosphere,351,33,35.8974,0.0412,0.0635,0.0142,0.26677000000000006,0.008799999999999999,0.017200000000000003,0.0033,0.005399999999999999,0.0020000000000000005,0.0129,0.0166
lympho,148,18,4.0541,0.019000000000000006,0.058530000000000006,0.007600000000000001,0.24980000000000002,0.0035000000000000005,0.016000000000000004,0.0015000000000000002,0.0013000000000000002,0.0012000000000000003,0.006500000000000001,0.008700000000000003
mammography,10000,6,2.3,1.0925100000000003,0.25751000000000007,0.0060999999999999995,0.52147,0.35585999999999995,0.08188,0.17957,3.12859,0.004100000000000001,0.02641,0.021499999999999995
optdigits,5216,64,2.8758,1.2239,0.28950000000000004,0.047499999999999994,0.62934,0.65961,0.06667999999999999,0.3345300000000001,1.07091,0.05059,0.12987,0.1002
pima,768,8,34.8958,0.08975999999999998,0.09069999999999998,0.004300000000000001,0.27631000000000006,0.021699999999999997,0.018399999999999996,0.008200000000000002,0.0197,0.0011000000000000003,0.005399999999999999,0.007300000000000001
satellite,6435,36,31.6395,1.2120000000000002,0.35838000000000003,0.028500000000000004,0.57913,0.63563,0.0768,0.51201,1.54447,0.024099999999999996,0.12039999999999998,0.08814999999999998
satimage-2,5803,36,1.2235,1.0575999999999999,0.34190000000000004,0.0264,0.5262600000000001,0.56162,0.07148,0.41864,1.25224,0.021449999999999993,0.10311,0.07819999999999999
speech,3686,400,1.6549,2.25685,0.44866,0.1727,2.3602200000000004,1.7295700000000003,0.07908,0.2043,1.38085,0.87088,0.88365,0.68807
wbc,378,30,5.5556,0.04459999999999999,0.0688,0.0128,0.26148000000000005,0.009999999999999998,0.017599999999999998,0.00346,0.0068000000000000005,0.0019000000000000002,0.012399999999999998,0.01487
wine,129,13,7.7519,0.015700000000000002,0.05800000000000001,0.005899999999999999,0.24767,0.0039000000000000007,0.016000000000000004,0.0019000000000000002,0.0013000000000000004,0.0012000000000000003,0.0047,0.007400000000000001
