Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,PCA,COD,BAZUOD
arrhythmia,452,274,14.6018,0.38076000000000004,0.45385,0.51108,0.48301999999999995,0.44636999999999993,0.43811999999999995,0.4334300000000001,0.4614,0.46129,0.46495,0.4732
breastw,683,9,34.9927,0.023969999999999998,0.8714899999999999,0.9303600000000001,0.9214800000000001,0.9049099999999999,0.92792,0.24963000000000002,0.9049099999999999,0.93112,0.9444100000000001,0.9403599999999999
cardio,1831,21,9.6122,0.23742999999999997,0.42966,0.44761000000000006,0.49842000000000003,0.33227,0.5150399999999999,0.15409,0.50112,0.609,0.53687,0.5328
ionosphere,351,33,35.8974,0.84415,0.7748900000000001,0.32951,0.64939,0.86021,0.60727,0.7063400000000001,0.7000499999999998,0.5728599999999999,0.56287,0.56571
lympho,148,18,4.0541,0.44833999999999996,0.75167,0.8466699999999999,0.92667,0.75167,0.27833,0.75167,0.75167,0.75167,0.79667,0.79667
mammography,10000,6,2.43,0.0,0.21674,0.12510000000000002,0.22628999999999996,0.21905999999999998,0.28606,0.22963,0.26605999999999996,0.25428,0.41837,0.39159
optdigits,5216,64,2.8758,0.006019999999999999,0.0,0.21939999999999998,0.02139,0.0,0.01613,0.023350000000000003,0.0,0.0,0.010589999999999999,0.010310000000000001
pima,768,8,34.8958,0.51929,0.48378,0.54238,0.50139,0.54133,0.38583,0.45552000000000004,0.47035,0.49429,0.48265,0.48074000000000006
satellite,6435,36,31.6395,0.39023,0.5797799999999999,0.56903,0.55761,0.49944999999999995,0.47759,0.38929,0.5345500000000001,0.4784400000000001,0.4777,0.47463000000000005
satimage-2,5803,36,1.2235,0.21304999999999996,0.9375900000000001,0.6939,0.8695999999999999,0.38087,0.8593699999999999,0.055510000000000004,0.9355600000000001,0.8040799999999999,0.72342,0.7027
speech,3686,400,1.6549,0.06156999999999999,0.021140000000000003,0.05647,0.02038,0.021140000000000003,0.01234,0.03272,0.021140000000000003,0.021140000000000003,0.034379999999999994,0.034379999999999994
wbc,378,30,5.5556,0.30604,0.48064000000000007,0.5816600000000001,0.5087900000000001,0.49518000000000006,0.50157,0.51879,0.51249,0.47673000000000004,0.65316,0.65316
wine,129,13,7.7519,0.02,0.0,0.33999999999999997,0.21000000000000002,0.0,0.17,0.225,0.02,0.155,0.385,0.36
